AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Mayiladuthurai,161,GEN,Nagapattinam,Rajakumar.S,Indian National Congress,246064,174640,70.97 %,2742,1.6%
Poompuhar,162,GEN,Nagapattinam,Nivedha M. Murugan,Dravida Munetra Kazhagam,275903,207838,75.33 %,3299,1.6%
Nagapattinam,163,GEN,Nagapattinam,J. Mohamed Shanavas,Viduthalai Chiruthaigal Katchi,197960,143560,72.52 %,7238,5.0%
Kilvelur,164,SC,Nagapattinam,NAGAIMAALI V P,Communist Party Of India (Marxist),178764,142995,79.99 %,16985,11.9%
Vedaranyam,165,GEN,Nagapattinam,O.S.MANIAN,All India Anna Dravida Munnetra Kazhagam,192770,158060,81.99 %,12329,7.8%
Thiruthuraipoondi,166,SC,Thiruvarur,MARIMUTHU K,Communist Party Of India,240072,185886,77.43 %,30068,16.2%
Mannargudi,167,GEN,Thiruvarur,RAJAA T R B,Dravida Munetra Kazhagam,260042,193229,74.31 %,37393,19.4%
Thiruvarur,168,GEN,Thiruvarur,KALAIVANAN POONDI K.,Dravida Munetra Kazhagam,282708,208290,73.68 %,51174,24.6%
Nannilam,169,GEN,Thiruvarur,KAMARAJ R,All India Anna Dravida Munnetra Kazhagam,272305,221944,81.51 %,4424,2.0%
Thiruvidaimarudur,170,SC,Thanjavur,"CHEZHIAAN, GOVI.",Dravida Munetra Kazhagam,259518,198446,76.47 %,10680,5.4%
Kumbakonam,171,GEN,Thanjavur,"ANBALAGAN, G.",Dravida Munetra Kazhagam,273097,197564,72.34 %,21383,10.8%
Papanasam,172,GEN,Thanjavur,"Dr.JAWAHIRULLAH, M.H.",Dravida Munetra Kazhagam,260941,196982,75.49 %,16273,8.3%
Thiruvaiyaru,173,GEN,Thanjavur,DURAI.CHANDRASEKARAN,Dravida Munetra Kazhagam,268590,211430,78.72 %,53650,25.4%
Thanjavur,174,GEN,Thanjavur,"NEELAMEGAM, T.K.G.",Dravida Munetra Kazhagam,290936,194859,66.98 %,47149,24.2%
Orathanadu,175,GEN,Thanjavur,"VAITHILINGAM, R.",All India Anna Dravida Munnetra Kazhagam,243747,191840,78.7 %,28835,15.0%
Pattukkottai,176,GEN,Thanjavur,"ANNADURAI, K.",Dravida Munetra Kazhagam,245863,177200,72.07 %,25269,14.3%
Peravurani,177,GEN,Thanjavur,"ASHOKKUMAR, N.",Dravida Munetra Kazhagam,220162,170850,77.6 %,23503,13.8%
Gandarvakkottai,178,SC,Pudukkottai,M.Chinnadurai,Communist Party Of India (Marxist),201607,157620,78.18 %,12721,8.1%
Viralimalai,179,GEN,Pudukkottai,VIJAYA BASKER C,All India Anna Dravida Munnetra Kazhagam,225189,193423,85.89 %,23598,12.2%
Pudukkottai,180,GEN,Pudukkottai,V . MUTHURAJA,Dravida Munetra Kazhagam,244029,179892,73.72 %,13001,7.2%
Thirumayam,181,GEN,Pudukkottai,S.REGUPATHY,Dravida Munetra Kazhagam,227883,174031,76.37 %,1382,0.8%
Alangudi,182,GEN,Pudukkottai,SIVA.V.MEYYANATHAN,Dravida Munetra Kazhagam,217344,171842,79.06 %,25847,15.0%
